current_gold,total_gold,level,xp,cs,jg,champion_mastery,damage_taken_per_min,champion_mastery_median,champion_mastery_min,ward_placed,elite_monster_killed,building_killed,champion_killed,winner
774.0,-4096.0,-4.0,-3007.0,-48.0,4.0,0.0,533.2000000000003,0,0,-34,-5,-3,-6,1
-1651.0,-5496.0,-1.0,-1699.0,-83.0,-46.0,0.0,597.5,0,0,200,-2,-4,-7,1
3035.0,4151.0,1.0,1984.0,45.0,-16.0,0.0,147.5,0,0,-16,0,-1,0,0
-1933.0,1194.0,-5.0,-4919.0,-16.0,2.0,0.0,127.5,0,0,53,3,3,4,1
-5466.0,-5757.0,-6.0,-5577.0,-21.0,-14.0,0.0,17.800000000000637,0,0,6,-2,0,-4,0
-97.0,-1202.0,-2.0,-2247.0,2.0,20.0,0.0,385.6999999999998,0,0,-5,0,-2,-9,0
-2795.0,-5523.0,-6.0,-6260.0,-54.0,-19.0,0.0,-353.3000000000002,0,0,62,-1,-2,-9,1
-1336.0,7354.0,5.0,6150.0,-13.0,41.0,0.0,231.5999999999999,0,0,65,3,1,8,0
635.0,7531.0,5.0,8455.0,-28.0,17.0,0.0,-102.89999999999964,0,0,-2,2,2,10,0
-1388.0,-2164.0,-3.0,-2729.0,8.0,-16.0,0.0,189.89999999999986,0,0,-8,0,1,-7,0
931.0,-1034.0,-1.0,-1559.0,-30.0,16.0,0.0,-571.0999999999999,0,0,-20,2,-2,-1,0
1545.0,-2260.0,-2.0,-3534.0,-33.0,-14.0,0.0,757.2999999999997,0,0,59,-4,-2,-7,1
-2570.0,-9615.0,-6.0,-7471.0,-109.0,-29.0,0.0,-172.29999999999973,0,0,3,-2,-5,-13,1
-3571.0,1154.0,0.0,-326.0,-26.0,20.0,0.0,35.59999999999991,0,0,-66,2,0,1,0
2510.0,-6954.0,-3.0,-4467.0,46.0,-52.0,0.0,68.59999999999945,0,0,-80,-4,-4,-15,1
873.0,6498.0,3.0,4587.0,23.0,29.0,0.0,519.0000000000005,0,0,-19,1,2,8,0
1152.0,355.0,-1.0,-829.0,3.0,38.0,0.0,-23.0,0,0,18,2,-1,-4,1
-6.0,4388.0,4.0,4503.0,-1.0,18.0,0.0,279.3000000000002,0,0,3,-1,2,8,0
2272.0,442.0,-2.0,-979.0,69.0,14.0,0.0,286.8000000000002,0,0,6,3,2,-2,0
-578.0,-803.0,-1.0,-1116.0,-54.0,-18.0,0.0,189.39999999999986,0,0,-9,2,0,2,0
3444.0,1359.0,0.0,688.0,-17.0,-7.0,0.0,181.20000000000027,0,0,-26,0,-2,1,0
1347.0,2257.0,2.0,2068.0,-43.0,10.0,0.0,-426.10000000000036,0,0,-10,-1,0,3,1
2342.0,1721.0,2.0,2950.0,53.0,-1.0,0.0,-23.299999999999955,0,0,13,-4,-1,0,0
2033.0,1472.0,1.0,1129.0,21.0,-4.0,0.0,112.70000000000073,0,0,-9,-2,0,3,0
-2836.0,-7328.0,-6.0,-6434.0,-68.0,-13.0,0.0,356.4000000000001,0,0,-58,-3,-4,-5,1
-339.0,6042.0,6.0,7114.0,66.0,44.0,0.0,-79.20000000000027,0,0,3,3,2,8,0
1251.0,2229.0,-1.0,681.0,38.0,31.0,0.0,-2.200000000000273,0,0,-9,1,-1,1,1
2196.0,3348.0,2.0,1784.0,-40.0,19.0,0.0,-12.899999999999864,0,0,1,3,1,4,0
175.0,6081.0,3.0,2851.0,112.0,-17.0,0.0,-734.7000000000003,0,0,9,1,2,7,0
876.0,-3020.0,-1.0,-2693.0,30.0,-37.0,0.0,-289.0999999999999,0,0,2,-1,-1,-8,1
4963.0,7643.0,6.0,8400.0,75.0,64.0,0.0,188.70000000000027,0,0,7,1,0,5,0
1049.0,254.0,0.0,295.0,-48.0,37.0,0.0,-37.40000000000009,0,0,9,3,1,-1,0
-775.0,7090.0,5.0,7292.0,5.0,72.0,0.0,296.4000000000001,0,0,2,1,2,11,0
-1931.0,5858.0,1.0,917.0,41.0,-25.0,0.0,-245.00000000000045,0,0,6,0,5,12,1
-2263.0,-4498.0,-5.0,-5438.0,66.0,-21.0,0.0,-377.3000000000002,0,0,16,-2,-1,-9,1
-1030.0,-8855.0,-5.0,-6480.0,-117.0,-49.0,0.0,-422.0,0,0,-6,-3,-3,-11,1
